Cities,MEAN-SQUARED-ERROR-MAX,STANDART-DEVIATION-MAX,MEAN-ABSOLUTE-ERROR-MAX,MEDIAN-ABSOLUTE-ERROR-MAX
AL_Maceio,1.9762889645660016,0.8745970465826152,1.1006220834941338,1.049424442765439
AL_PalmeiraDosIndios,13.412838929235125,1.7120611788296989,3.2375431192772384,3.242799555926972
AP_Macapa,6.9135205038661525,1.387309934501858,2.2335826936781644,2.2136973496108574
CE_CamposSales,5.090796401272088,1.4457977892259033,1.7321850807409631,1.6771198576377608
DF_Roncador,9.012003356356756,1.6627993722522032,2.499420253577705,2.197971752611154
MA_Turiacu,4.224641312714079,1.269762283264445,1.6162750560202133,1.3379716458710256
MG_BeloHorizonte,10.103936274535448,1.5516475672845909,2.7742253155566257,2.7681838654211384
MG_Caratinga,12.158043927594704,2.150817319030279,2.74445418758523,2.7783764750455884
PA_Belem,3.156343100024438,1.0136697509379555,1.4590465160706227,1.188166727601761
PA_MonteAlegre,4.456633580403187,1.3333893659319354,1.6366754043556762,1.2374444279020569
PI_VALEDOGURGUEIA,1.5765876391840492,0.7522962935945425,1.0053048919745509,0.8288352135777792
