Cities,MEAN-SQUARED-ERROR-MIN,STANDART-DEVIATION-MIN,MEAN-ABSOLUTE-ERROR-MIN,MEDIAN-ABSOLUTE-ERROR-MIN
AL_Maceio,0.39034722185840337,0.3566060349807272,0.5130100950992366,0.42391507936980943
AL_PalmeiraDosIndios,4.696082111901156,1.0219072386774646,1.910965124600592,1.7993928380566808
AP_Macapa,1.166473784850619,0.5847453922904234,0.9080454895244718,0.8389027402783107
CE_CamposSales,1.5218530438087454,0.856528680607128,0.8878128536500008,0.6251916020384556
DF_Roncador,7.394257065265577,1.513715504140143,2.258964904063658,2.0374873345844597
MA_Turiacu,0.26668923106976183,0.3355262798250304,0.3925701804983884,0.327240866638709
MG_BeloHorizonte,4.850181052068241,1.2969303819179214,1.779930514521979,1.3815168899065888
MG_Caratinga,7.598136549384295,1.8418972244259064,2.050744051322943,1.4277576818675382
PA_Belem,0.8058953651704861,0.6182478779674186,0.6508954805183931,0.382395740345352
PA_MonteAlegre,1.4660532509005906,0.7028396415315437,0.98593594578573,0.9668104866587796
PI_VALEDOGURGUEIA,7.261840717329268,1.2258792413360229,2.3998043259796593,2.5093294074929204
